Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Bin;TOP;BLG;MDK;Myrwn;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:26:36;Nidalee;Ziggs;Vi;Skarner;Gnar;KSante;Win;21;11;4;1;15;3;1;3;6;219;7;0;8.2;11540;434;0.205;23;11;2;3;3;0.86;0.41;0.11;0.08;0.103;15458;12521;2817;120;581;0.191;0.23;0.286;0;0;0;0;0;-176;27;-576;0;0;8519;8519;2627;0;11181;0;26;387;12079;35;4;19;0;50
Wei;JUNGLE;BLG;MDK;Elyoya;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:26:36;Jinx;Aurora;Gnar;Syndra;Vi;Skarner;Win;21;11;4;1;14;2;2;16;9;152;132;0;5.7;10328;388;0.183;43;15;7;12;11;1.62;0.56;0.45;0.26;0.192;14695;14103;0;592;552;0.182;0.68;0.857;0;0;0;0;0;299;-1;1111;1;0;6271;6271;15559;0;28792;0;29;217;25413;26;13;27;0;0
Knight;MID;BLG;MDK;Fresskowy;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:26:36;Ashe;Ezreal;Ahri;KSante;Ahri;Syndra;Win;21;11;4;1;15;9;1;9;18;218;6;0;8.2;12658;476;0.224;49;18;11;3;3;1.84;0.68;0.11;0.41;0.219;21075;2472;14655;3948;792;0.261;0.68;0.857;0;1;0;0;0;890;25;1117;1;0;5406;5406;4064;0;6396;0;27;109;11270;0;5;25;0;700
Elk;ADCARRY;BLG;MDK;Supa;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:26:36;Renata_Glasc;Jhin;Kaisa;Tristana;Kaisa;Tristana;Win;21;11;4;1;15;7;2;9;8;257;17;0;9.7;14595;549;0.259;29;11;8;3;3;1.09;0.41;0.11;0.3;0.129;25068;10988;13800;280;942;0.31;0.6;0.762;0;2;0;0;0;51;-19;-1159;-1;0;10052;10052;4254;0;9455;0;1;60;12863;48;4;21;100;100
ON;SUPPORT;BLG;MDK;Alvaro;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:26:36;Poppy;Lucian;Rell;Alistar;Rell;Alistar;Win;21;11;4;1;11;0;4;17;4.3;28;0;0;1.1;7281;274;0.129;80;37;10;11;11;3.01;1.39;0.41;0.38;0.357;4577;777;3072;728;172;0.057;0.64;0.81;0;0;0;0;0;-109;-9;607;1;0;1982;1982;1157;0;12774;1215;32;59;10700;52;13;25;0;0
Myrwn;TOP;MDK;BLG;Bin;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:26:36;Ziggs;Nidalee;Skarner;Vi;KSante;Gnar;Loss;10;1;0;0;14;3;3;4;2.3;171;0;0;6.4;8551;321;0.203;21;10;2;2;2;0.79;0.38;0.08;0.08;0.119;5387;4434;560;393;203;0.129;0.26;0.7;2;1;0;0;0;176;-27;576;0;0;1939;1939;1004;0;27696;525;13;1312;22004;82;4;22;0;0
Elyoya;JUNGLE;MDK;BLG;Wei;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:26:36;Aurora;Jinx;Syndra;Gnar;Skarner;Vi;Loss;10;1;0;0;12;1;2;6;3.5;153;134;0;5.8;8011;301;0.19;27;9;7;7;6;1.02;0.34;0.26;0.26;0.153;8908;4813;3695;400;335;0.213;0.26;0.7;0;0;0;0;0;-299;1;-1111;-1;0;0;0;7661;259;35823;0;34;680;24112;62;8;21;0;0
Fresskowy;MID;MDK;BLG;Knight;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:26:36;Ezreal;Ashe;KSante;Ahri;Syndra;Ahri;Loss;10;1;0;0;13;3;7;2;0.7;207;0;0;7.8;9401;353;0.223;22;8;5;6;5;0.83;0.3;0.23;0.19;0.124;11865;669;11016;180;446;0.284;0.19;0.5;0;0;0;0;0;-890;-25;-1117;-1;0;1907;1907;48;0;7404;0;25;257;16186;201;9;24;50;0
Supa;ADCARRY;MDK;BLG;Elk;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:26:36;Jhin;Renata_Glasc;Tristana;Kaisa;Tristana;Kaisa;Loss;10;1;0;0;13;3;3;3;2;231;0;0;8.7;10562;397;0.25;34;10;11;3;3;1.28;0.38;0.11;0.41;0.192;12438;11071;1211;156;468;0.298;0.23;0.6;1;0;0;0;0;-51;19;1159;1;0;1024;1024;2698;0;9177;0;4;25;15047;110;4;19;800;100
Alvaro;SUPPORT;MDK;BLG;ON;03.10.2024;1;1;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:26:36;Lucian;Poppy;Alistar;Rell;Alistar;Rell;Loss;10;1;0;0;10;0;6;5;0.8;29;0;0;1.1;5644;212;0.134;73;44;10;15;13;2.74;1.65;0.56;0.38;0.412;3152;572;1958;622;118;0.075;0.19;0.5;0;0;0;0;0;109;9;-607;-1;0;221;221;4539;2523;20353;1031;28;59;18219;71;17;28;0;0
